Timestamp,Jenis Kelamin,Tahun Kelulusan Kuliah,Jabatan Anda di Lab SLC sekarang?,Sudah berapa lama Anda bekerja di Lab SLC?,Berapa lama rata-rata kamu bekerja di lab SLC setiap harinya?,Pekerjaan di Lab SLC membantu saya memahami materi kuliah dengan lebih baik.  ,Saya menjadi lebih disiplin dalam mengatur waktu karena bekerja di Lab SLC.  ,Pengalaman bekerja di Lab SLC meningkatkan tanggung jawab saya sebagai mahasiswa.  ,Pekerjaan di Lab SLC melatih kemampuan komunikasi dan kerja sama saya.  ,Saya merasa lebih percaya diri dalam kegiatan akademik berkat pengalaman di Lab SLC.  ,Pekerjaan di Lab SLC memberi saya pengalaman yang relevan untuk masa depan saya.,Pekerjaan di Lab SLC membuat saya kelelahan sehingga sulit fokus saat kuliah.  ,Saya sering merasa kekurangan waktu untuk mengerjakan tugas kuliah karena bekerja di Lab SLC.  ,Jadwal kerja di Lab SLC sering bertabrakan dengan kegiatan akademik saya.  ,Saya merasa nilai saya menurun sejak mulai bekerja di Lab SLC. ,Pekerjaan di Lab SLC lebih banyak mengganggu daripada membantu studi saya ,Saya pernah mengalami stres karena harus membagi waktu antara kuliah dan pekerjaan di Lab SLC. ,IPK terakhir yang Anda peroleh,Pencapaian akademik lainnya yang kamu capai selain di kelas (Boleh isi lebih dari 1),Apakah kamu juga pernah menerima penghargaan dari SLC atas kinerja kamu sebagai Assistant/Staff?,Apakah kamu merasa pekerjaan di Lab SLC mendukung kamu mencapai prestasi-prestasi tersebut?  
5/14/2025 13:39,Laki-laki,2027,Assistant,6-12 bulan,5-10 jam,4,4,4,4,4,5,3,4,1,2,1,1,3.0 - 3.5,Juara lomba akademik,Tidak,5
5/14/2025 13:40,Laki-laki,2026,Staff,"1-1,5 tahun",5-10 jam,5,5,5,5,5,5,3,3,3,1,1,1,> 3.5,Juara lomba akademik,Ya,5
5/14/2025 13:41,Perempuan,2027,Assistant,6-12 bulan,5-10 jam,4,4,4,4,4,4,4,4,2,4,2,4,> 3.5,Tidak ada dari yang disebutkan,Tidak,4
5/14/2025 13:42,Perempuan,2027,Assistant,6-12 bulan,5-10 jam,5,4,4,5,5,5,4,4,2,1,1,5,> 3.5,Tidak ada dari yang disebutkan,Tidak,5
5/14/2025 13:44,Laki-laki,2027,Staff,"1-1,5 tahun",5-10 jam,5,5,5,5,5,4,3,2,2,2,2,2,> 3.5,Tidak ada dari yang disebutkan,Ya,4
5/14/2025 13:48,Laki-laki,2027,Staff,"1-1,5 tahun",5-10 jam,4,5,4,4,4,5,4,5,4,4,3,4,3.0 - 3.5,Tidak ada dari yang disebutkan,Ya,4
5/14/2025 13:49,Perempuan,2027,Staff,"1-1,5 tahun",5-10 jam,4,3,5,4,4,5,4,3,3,1,2,3,> 3.5,Tidak ada dari yang disebutkan,Ya,4
5/14/2025 13:51,Laki-laki,2026,Staff,"1,5-2 tahun",5-10 jam,4,5,5,5,5,5,3,3,3,3,5,3,> 3.5,Tidak ada dari yang disebutkan,Ya,5
5/14/2025 13:55,Laki-laki,2027,Staff,"1-1,5 tahun",> 10 jam,4,4,2,5,5,5,4,4,2,2,2,4,> 3.5,Tidak ada dari yang disebutkan,Ya,4
5/14/2025 13:56,Laki-laki,2027,Staff,"1-1,5 tahun",5-10 jam,5,4,3,5,5,4,3,2,2,3,2,4,3.0 - 3.5,Tidak ada dari yang disebutkan,Ya,3
